"custo";"valor_custo";"flag_fixo";"flag_variavel";"flag_pendente";"data_base";"semana";"data_custo";"tipo_custo";"dt_pagto_bq";"dt_custo_bq"
"agua";"5.5";0;1;0;"01/03/2018";"2ª semana";"06/03/2018";"alimentação";"2018-03-01";"2018-03-06"
"agua";"2.99";0;1;0;"01/03/2018";"2ª semana";"16/03/2018";"alimentação";"2018-03-01";"2018-03-16"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"alimentação";"2018-03-01";"2018-03-19"
"agua";"3.99";0;1;0;"01/03/2018";"3ª semana";"19/03/2018";"alimentação";"2018-03-01";"2018-03-19"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"20/03/2018";"alimentação";"2018-03-01";"2018-03-20"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"22/03/2018";"alimentação";"2018-03-01";"2018-03-22"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"23/03/2018";"alimentação";"2018-03-01";"2018-03-23"
"agua";"8.49";0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"alimentação";"2018-03-01";"2018-03-26"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"26/03/2018";"alimentação";"2018-03-01";"2018-03-26"
"agua";"2.99";0;1;0;"01/03/2018";"3ª semana";"27/03/2018";"alimentação";"2018-03-01";"2018-03-27"
"agua";"2.99";0;1;0;"01/04/2018";"3ª semana";"25/04/2018";"alimentação";"2018-04-01";"2018-04-25"
"agua";"2.99";0;1;0;"01/05/2018";"1ª semana";"03/05/2018";"alimentação";"2018-05-01";"2018-05-03"
"agua";"6.98";0;1;0;"01/05/2018";"2ª semana";"07/05/2018";"alimentação";"2018-05-01";"2018-05-07"
"agua";"10.97";0;1;0;"01/05/2018";"4ª semana";"21/05/2018";"alimentação";"2018-05-01";"2018-05-21"
"agua";3;0;1;0;"01/05/2018";"4ª semana";"22/05/2018";"alimentação";"2018-05-01";"2018-05-22"
"agua";3;0;1;0;"01/05/2018";"5ª semana";"28/05/2018";"alimentação";"2018-05-01";"2018-05-28"
"agua";3;0;1;0;"01/06/2018";"1ª semana";"06/06/2018";"alimentação";"2018-06-01";"2018-06-06"
"agua";3;0;1;0;"01/06/2018";"2ª semana";"11/06/2018";"alimentação";"2018-06-01";"2018-06-11"
"agua";3;0;1;0;"01/06/2018";"3ª semana";"28/06/2018";"alimentação";"2018-06-01";"2018-06-28"
"agua";3;0;1;0;"01/07/2018";"1ª semana";"03/07/2018";"alimentação";"2018-07-01";"2018-07-03"
"agua";3;0;1;0;"01/07/2018";"1ª semana";"05/07/2018";"alimentação";"2018-07-01";"2018-07-05"
"agua";3;0;1;0;"01/07/2018";"2ª semana";"10/07/2018";"alimentação";"2018-07-01";"2018-07-10"
"agua";"2.99";0;1;0;"01/07/2018";"3ª semana";"16/07/2018";"alimentação";"2018-07-01";"2018-07-16"
"agua";"2.99";0;1;0;"01/07/2018";"4ª semana";"23/07/2018";"alimentação";"2018-07-01";"2018-07-23"
"agua";"2.99";0;1;0;"01/07/2018";"4ª semana";"23/07/2018";"alimentação";"2018-07-01";"2018-07-23"
"agua";3;0;1;0;"01/07/2018";"4ª semana";"26/07/2018";"alimentação";"2018-07-01";"2018-07-26"
"agua";"2.99";0;1;0;"01/07/2018";"5ª semana";"30/07/2018";"alimentação";"2018-07-01";"2018-07-30"
"agua";"2.99";0;1;0;"01/08/2018";"1ª semana";"02/08/2018";"alimentação";"2018-08-01";"2018-08-02"
"agua";4;0;1;0;"01/08/2018";"1ª semana";"06/08/2018";"alimentação";"2018-08-01";"2018-08-06"
"agua";3;0;1;0;"01/08/2018";"1ª semana";"08/08/2018";"alimentação";"2018-08-01";"2018-08-08"
"agua";3;0;1;0;"01/08/2018";"3ª semana";"23/08/2018";"alimentação";"2018-08-01";"2018-08-23"
"agua";"2.99";0;1;0;"01/08/2018";"3ª semana";"28/08/2018";"alimentação";"2018-08-01";"2018-08-28"
"agua";3;0;1;0;"01/09/2018";"1ª semana";"04/09/2018";"alimentação";"2018-09-01";"2018-09-04"
"agua";3;0;1;0;"01/09/2018";"2ª semana";"10/09/2018";"alimentação";"2018-09-01";"2018-09-10"
"agua";3;0;1;0;"01/09/2018";"2ª semana";"14/09/2018";"alimentação";"2018-09-01";"2018-09-14"
"agua";"2.99";0;1;0;"01/09/2018";"3ª semana";"19/09/2018";"alimentação";"2018-09-01";"2018-09-19"
"agua";3;0;1;0;"01/09/2018";"4ª semana";"24/09/2018";"alimentação";"2018-09-01";"2018-09-24"
"agua";3;0;1;0;"01/09/2018";"4ª semana";"27/09/2018";"alimentação";"2018-09-01";"2018-09-27"
"agua";3;0;1;0;"01/10/2018";"1ª semana";"03/10/2018";"alimentação";"2018-10-01";"2018-10-03"
"agua";3;0;1;0;"01/10/2018";"1ª semana";"29/10/2018";"alimentação";"2018-10-01";"2018-10-29"
"agua";3;0;1;0;"01/11/2018";"1ª semana";"05/11/2018";"alimentação";"2018-11-01";"2018-11-05"
"agua";3;0;1;0;"01/11/2018";"1ª semana";"08/11/2018";"alimentação";"2018-11-01";"2018-11-08"
"agua";3;0;1;0;"01/11/2018";"1ª semana";"13/11/2018";"alimentação";"2018-11-01";"2018-11-13"
"agua";3;0;1;0;"01/11/2018";"1ª semana";"16/11/2018";"alimentação";"2018-11-01";"2018-11-16"
"agua";"2.99";0;1;0;"01/11/2018";"1ª semana";"26/11/2018";"alimentação";"2018-11-01";"2018-11-26"
"agua";"2.99";0;1;0;"01/11/2018";"1ª semana";"30/11/2018";"alimentação";"2018-11-01";"2018-11-30"
"agua";"2.99";0;1;0;"01/12/2018";"1ª semana";"09/12/2018";"alimentação";"2018-12-01";"2018-12-09"
"agua";"2.99";0;1;0;"01/12/2018";"1ª semana";"17/12/2018";"alimentação";"2018-12-01";"2018-12-17"
"adriana";150;0;1;0;"01/01/2018";"1ª semana";"05/01/2018";"compras";"2018-01-01";"2018-01-05"
"açougue";"11.75";0;1;0;"01/12/2018";"1ª semana";"28/12/2018";"alimentação";"2018-12-01";"2018-12-28"
"açougue";"8.6";0;1;0;"01/12/2018";"1ª semana";"29/12/2018";"alimentação";"2018-12-01";"2018-12-29"
"acai";7;0;1;0;"01/03/2018";"1ª semana";"01/03/2018";"alimentação";"2018-03-01";"2018-03-01"
"academia";68;0;1;0;"01/01/2018";"1ª semana";"05/01/2018";"compras";"2018-01-01";"2018-01-05"
"academia";68;0;1;0;"01/02/2018";"4ª semana";"19/02/2018";"compras";"2018-02-01";"2018-02-19"
