"tipo_custo";"data_custo";"custo";"info_banco";"valor";"valor_custo";"valor_entrada";"ref_base";"dt_pagto_bq";"dt_custo_bq"
"seminario";"04/02/2021";"INT TED  467957";4175;-340;340;0;01/02/2021;"2021-02-01";"2021-02-04"
"saldo";"04/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021;"2021-02-01";"2021-02-04"
"alimentação";"05/02/2021";"ELECTRONBD";9212;-11;11;0;01/02/2021;"2021-02-01";"2021-02-05"
"michelle";"05/02/2021";"ELECTRONSALAO FERNA";9212;-40;40;0;01/02/2021;"2021-02-01";"2021-02-05"
"banco";"05/02/2021";"LIS/JUROS     24 DIAS";;-87,3;87,3;0;01/02/2021;"2021-02-01";"2021-02-05"
"saldo";"05/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021;"2021-02-01";"2021-02-05"
"moradia";"08/02/2021";"INT PAG TIT 109046299963";4175;-493,44;493,44;0;01/02/2021;"2021-02-01";"2021-02-08"
"creche";"08/02/2021";"INT  PAG TIT BANCO 077";4175;-542;542;0;01/02/2021;"2021-02-01";"2021-02-08"
"celular";"08/02/2021";"INT NEXTEL 9099999687157";4175;-88,76;88,76;0;01/02/2021;"2021-02-01";"2021-02-08"
"carro";"08/02/2021";"ELECTRONAUTO POSTO";9212;-31,9;31,9;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"ELECTRONBREADS VALL";9212;-8;8;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"ELECTRONCENTER CHIC";9212;-5;5;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"ELECTRONCONFECCOES";9212;-34,99;34,99;0;01/02/2021;"2021-02-01";"2021-02-08"
"farmacia";"08/02/2021";"ELECTRONDROGARIA PR";9212;-86,88;86,88;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"ELECTRONFERNANDA GO";9212;-25,8;25,8;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"ELECTRONFERNANDA GO";9212;-102,5;102,5;0;01/02/2021;"2021-02-01";"2021-02-08"
"mercado";"08/02/2021";"ELECTRONTRIMAIS SUP";9212;-189,69;189,69;0;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"TED 237.0001BRADESCO SAU";;353;0;353;01/02/2021;"2021-02-01";"2021-02-08"
"compras";"08/02/2021";"PIX TRANSF  EDUARDO06/02";9327;32,86;0;32;01/02/2021;"2021-02-01";"2021-02-08"
"saldo";"08/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-08"
"celular";"09/02/2021";"INT NEXTEL 9499999687161";4175;-53,32;53,32;0;01/02/2021;"2021-02-01";"2021-02-09"
"farmacia";"09/02/2021";"ELECTRONDROGARIA PR";9212;-66,12;66,12;0;01/02/2021;"2021-02-01";"2021-02-09"
"saldo";"09/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-09"
"banco";"10/02/2021";"SEGURO CARTAO";9293;-6,61;6,61;0;01/02/2021;"2021-02-01";"2021-02-10"
"saldo";"10/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-10"
"enfermagem";"11/02/2021";"INT PAG TIT 109006113573";4175;-443,34;443,34;0;01/02/2021;"2021-02-01";"2021-02-11"
"compras";"11/02/2021";"ELECTRONBD";9212;-11;11;0;01/02/2021;"2021-02-01";"2021-02-11"
"mercado";"11/02/2021";"ELECTRONTRIMAIS SUP";9212;-182,23;182,23;0;01/02/2021;"2021-02-01";"2021-02-11"
"doação";"11/02/2021";"DEB AUTOR UNICEF";9293;-75;75;0;01/02/2021;"2021-02-01";"2021-02-11"
"saldo";"11/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-11"
"compras";"12/02/2021";"ELECTRONBETTER INFO";9212;-19,9;19,9;0;01/02/2021;"2021-02-01";"2021-02-12"
"compras";"12/02/2021";"ELECTRONPAG*MONICAP";9212;-11,9;11,9;0;01/02/2021;"2021-02-01";"2021-02-12"
"mercado";"12/02/2021";"ELECTRONSONDA TREME";9212;-17,28;17,28;0;01/02/2021;"2021-02-01";"2021-02-12"
"mercado";"12/02/2021";"ELECTRONTRIMAIS SUP";9212;-68,98;68,98;0;01/02/2021;"2021-02-01";"2021-02-12"
"saldo";"12/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-12"
"saque";"17/02/2021";"SAQUE 24H 11104585 14/02";5086;-150;150;0;01/02/2021;"2021-02-01";"2021-02-17"
"alimentação";"17/02/2021";"ELECTRONBD";9212;-11;11;0;01/02/2021;"2021-02-01";"2021-02-17"
"farmacia";"17/02/2021";"ELECTRONDROGARIA PR";9212;-43,18;43,18;0;01/02/2021;"2021-02-01";"2021-02-17"
"compras";"17/02/2021";"ELECTRONESPORT SCAP";9212;-30;30;0;01/02/2021;"2021-02-01";"2021-02-17"
"alimentação";"17/02/2021";"ELECTRONHABIBS";9212;-14,2;14,2;0;01/02/2021;"2021-02-01";"2021-02-17"
"alimentação";"17/02/2021";"ELECTRONIMW 3 R VIL";9212;-50;50;0;01/02/2021;"2021-02-01";"2021-02-17"
"compras";"17/02/2021";"ELECTRONLOJAS RENNE";9212;-20;20;0;01/02/2021;"2021-02-01";"2021-02-17"
"padaria";"17/02/2021";"ELECTRONPAES E DOCE";9212;-13;13;0;01/02/2021;"2021-02-01";"2021-02-17"
"alimentação";"17/02/2021";"ELECTRONPAG*Frigott";9212;-68;68;0;01/02/2021;"2021-02-01";"2021-02-17"
"compras";"17/02/2021";"ELECTRONPAG*MONICAP";9212;-9,9;9,9;0;01/02/2021;"2021-02-01";"2021-02-17"
"compras";"17/02/2021";"ELECTRONPAG*Rufplas";9212;-11;11;0;01/02/2021;"2021-02-01";"2021-02-17"
"farmacia";"17/02/2021";"ELECTRONPROMOFARMA";9212;-1,29;1,29;0;01/02/2021;"2021-02-01";"2021-02-17"
"farmacia";"17/02/2021";"ELECTRONPROMOFARMA";9212;-20,69;20,69;0;01/02/2021;"2021-02-01";"2021-02-17"
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";9212;-59,02;59,02;0;01/02/2021;"2021-02-01";"2021-02-17"
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";9212;-39,51;39,51;0;01/02/2021;"2021-02-01";"2021-02-17"
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";9212;-247,87;247,87;0;01/02/2021;"2021-02-01";"2021-02-17"
"cartão credito";"17/02/2021";"INT ITAUCARD";4175;-3626,45;3626,45;0;01/02/2021;"2021-02-01";"2021-02-17"
"resgate";"17/02/2021";"TBI 9293.22915-0/500";4175;1000;0;1000;01/02/2021;"2021-02-01";"2021-02-17"
"compras";"17/02/2021";"PIX QRS CLAUDIO DOU13/02";9136;40;0;40;01/02/2021;"2021-02-01";"2021-02-17"
"salario";"17/02/2021";"PIX TRANSF  ANDRE N15/02";9132;5000;0;5000;01/02/2021;"2021-02-01";"2021-02-17"
"saldo";"17/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-17"
"mercado";"18/02/2021";"ELECTRONTRIMAIS SUP";9212;-48,63;48,63;0;01/02/2021;"2021-02-01";"2021-02-18"
"cabeleireiro";"18/02/2021";"PIX TRANSF  ALEXAND18/02";9131;-25;25;0;01/02/2021;"2021-02-01";"2021-02-18"
"saldo";"18/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-18"
"compras";"19/02/2021";"ELECTRONCENTER CHIC";9212;-18;18;0;01/02/2021;"2021-02-01";"2021-02-19"
"compras";"19/02/2021";"ELECTRONM A KOCH LA";9212;-45;45;0;01/02/2021;"2021-02-01";"2021-02-19"
"farmacia";"19/02/2021";"ELECTRONPROMOFARMA";9212;-40,78;40,78;0;01/02/2021;"2021-02-01";"2021-02-19"
"mercado";"19/02/2021";"ELECTRONTRIMAIS SUP";9212;-31,63;31,63;0;01/02/2021;"2021-02-01";"2021-02-19"
"saldo";"19/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-19"
"saque";"22/02/2021";"SAQUE 24H 12763504 21/02";5086;-100;100;0;01/02/2021;"2021-02-01";"2021-02-22"
"compras";"22/02/2021";"ELECTRONDONAJU";9212;-96;96;0;01/02/2021;"2021-02-01";"2021-02-22"
"alimentação";"22/02/2021";"ELECTRONHABIB S";9212;-72,27;72,27;0;01/02/2021;"2021-02-01";"2021-02-22"
"alimentação";"22/02/2021";"ELECTRONMERCPAGO";9212;-4,5;4,5;0;01/02/2021;"2021-02-01";"2021-02-22"
"alimentação";"22/02/2021";"ELECTRONPAG*Frigott";9212;-79;79;0;01/02/2021;"2021-02-01";"2021-02-22"
"farmacia";"22/02/2021";"ELECTRONR C P FARMA";9212;-16,94;16,94;0;01/02/2021;"2021-02-01";"2021-02-22"
"compras";"22/02/2021";"ELECTRONSONEDA PERF";9212;-110,67;110,67;0;01/02/2021;"2021-02-01";"2021-02-22"
"compras";"22/02/2021";"PIX TRANSF  ANDRE N21/02";9014;392;0;392;01/02/2021;"2021-02-01";"2021-02-22"
"saldo";"22/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-22"
"mercado";"23/02/2021";"ELECTRONSONDA TREME";9212;-31,7;31,7;0;01/02/2021;"2021-02-01";"2021-02-23"
"saldo";"23/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-23"
"estacionamento";"24/02/2021";"ELECTRONPARK NOW ES";9212;-5;5;0;01/02/2021;"2021-02-01";"2021-02-24"
"saldo";"24/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-24"
"compras";"25/02/2021";"ELECTRONJEFFERSON*j";9212;-6;6;0;01/02/2021;"2021-02-01";"2021-02-25"
"compras";"25/02/2021";"ELECTRONPAG*galasso";9212;-5;5;0;01/02/2021;"2021-02-01";"2021-02-25"
"compras";"25/02/2021";"ELECTRONPASTEIS SON";9212;-7;7;0;01/02/2021;"2021-02-01";"2021-02-25"
"compras";"25/02/2021";"ELECTRONROSANGELA F";9212;-5;5;0;01/02/2021;"2021-02-01";"2021-02-25"
"mercado";"25/02/2021";"ELECTRONTRIMAIS SUP";9212;-189,07;189,07;0;01/02/2021;"2021-02-01";"2021-02-25"
"saldo";"25/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-25"
"farmacia";"26/02/2021";"ELECTRONDROGARIA PR";9212;-52,86;52,86;0;01/02/2021;"2021-02-01";"2021-02-26"
"mercado";"26/02/2021";"ELECTRONTRIMAIS SUP";9212;-97,53;97,53;0;01/02/2021;"2021-02-01";"2021-02-26"
"saldo";"28/02/2021";"SALDO DO DIA";;;0;0;01/02/2021;"2021-02-01";"2021-02-28"
"saldo";"26/02/2021";"SALDO ANTERIOR";;;0;0;01/03/2021;"2021-03-01";"2021-02-26"
"saque";"01/03/2021";"SAQUE 24H 11833548 28/02";5086;-100;100;0;01/03/2021;"2021-03-01";"2021-03-01"
