"de_para";"valor";
"CXE 000646 SAQUE 22/03";"viagem";
"RSHOP-CIA DA LAGO-21/03";"viagem";
"RSHOP-DROGARIA PR-23/03";"farmacia";
"RSHOP-PAG*Frigott-22/03";"frango";
"RSHOP-SONDA JACAN-22/03";"mercado";
"RSHOP-SONDA JACAN-23/03";"mercado";
"RSHOP-SONDA TREME-22/03";"mercado";
"RSHOP-SONDA TREME-23/03";"mercado";
"RES APLIC AUT MAIS";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"RSHOP-DROGARIA PR-24/03";"farmacia";
"RSHOP-PAG*barraca-25/03";"compras";
"INT  PAG TIT BANCO 237";"boleto";
"RSHOP-DROGARIA MA-29/03";"farmacia";
"RSHOP-FEIRANTE   -29/03";"feira";
"RSHOP-PAG*CleliaA-29/03";"compras";
"RSHOP-PAG*RafaelF-29/03";"compras";
"RSHOP-POSTO FLORI-28/03";"gasolina";
"RSHOP-SONDA JACAN-29/03";"mercado";
"RSHOP-SONDA TREME-28/03";"mercado";
"INT  PAG TIT BANCO 237";"boleto";
"TBI 0057.13714-3DILSHAD";"doação";
"RSHOP-SONDA TREME-31/03";"mercado";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO FINAL";"saldo";
"SALDO INICIAL";"saldo";
"RSHOP-DROGARIA PR-01/04";"farmacia";
"RSHOP-SWIFT NOVA -01/04";"alimentação";
"IOF";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"TAR PACOTE ITAU   MAR/20";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-LOJAS AMERI-03/04";"compras";
"RSHOP-MARTINS & R-03/04";"compras";
"RSHOP-RAIA 47    -03/04";"farmacia";
"RSHOP-SONDA TREME-03/04";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE 000547 SAQUE 04/04";"saque";
"RSHOP-AUTO POSTO -04/04";"gasolina";
"RSHOP-AUTO POSTO -04/04";"gasolina";
"RSHOP-DICICO TREM-04/04";"compras";
"RSHOP-DOM JOSE   -04/04";"compras";
"RSHOP-DROGARIA PR-06/04";"farmacia";
"RSHOP-DROGARIA NO-04/04";"farmacia";
"RSHOP-DROGARIA NO-04/04";"farmacia";
"RSHOP-HORTIFRUTI -04/04";"feira";
"RSHOP-LEVI DA SIL-04/04";"compras";
"RSHOP-M A KOCH LA-04/04";"compras";
"RSHOP-MERCADINHO -04/04";"mercado";
"RSHOP-RAIA 153   -04/04";"farmacia";
"RSHOP-SONDA TREME-04/04";"mercado";
"RSHOP-SONDA TREME-05/04";"mercado";
"RSHOP-SONDA TREME-06/04";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-SONDA TREME-07/04";"mercado";
"INT NEXTEL 9099999730370";"celular";
"INT NEXTEL 9199999730370";"celular";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"DEB AUTOR UNICEF";"doação";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE     000331 SAQUE";"saque";
"RSHOP-AUTO POSTO -09/04";"gasolina";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-ARIZONA PAE-13/04";"padaria";
"RSHOP-CHOCOLATES -12/04";"alimentação";
"RSHOP-DROGARIA PR-11/04";"farmacia";
"RSHOP-ESPETO DO V-11/04";"alimentação";
"RSHOP-PADARIA NOV-12/04";"padaria";
"RSHOP-PAG*JoseGil-12/04";"compras";
"RSHOP-SONDA JACAN-12/04";"mercado";
"RSHOP-STELO*MARIO-12/04";"compras";
"SEGURO CARTAO";"banco";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"RES APLIC AUT MAIS";"banco";
"RSHOP-HABIBS     -14/04";"alimentação";
"RSHOP-SONDA JACAN-14/04";"mercado";
"RSHOP-ARIZONA PAE-15/04";"padaria";
"RSHOP-PAG*FarmaEF-15/04";"farmacia";
"RSHOP-PAG*FarmaEF-15/04";"farmacia";
"TBI 2948.08717-2     C/C";"deposito";
"INT ITAUCARD";"cartão credito";
"TBI 9293.22915-0/500";"resgate";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-COMANDO JOV-16/04";"compras";
"RSHOP-COMERCIO DE-16/04";"compras";
"RSHOP-ECIVALDO CA-16/04";"compras";
"RSHOP-PAG*diegoej-16/04";"compras";
"RSHOP-PAG*Taylane-16/04";"compras";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-DROGARIA PR-17/04";"farmacia";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-ADEGA DO AL-18/04";"alimentação";
"RSHOP-ARIZONA PAE-18/04";"padaria";
"RSHOP-DROGARIA MA-19/04";"farmacia";
"RSHOP-EVANDRO G N-19/04";"compras";
"RSHOP-FARMAVAN XI-18/04";"farmacia";
"RSHOP-OURINHOS SU-18/04";"mercado";
"RSHOP-SONDA JACAN-19/04";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"RSHOP-ARIZONA PAE-21/04";"padaria";
"INT TED D   404795 SEGUR";"boleto";
