custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
agua;6;1;0;0;01/01/2016;4ª semana;05/02/2016;alimentação;2016-01-01;2016-02-05
panetone;24.99;1;0;0;01/01/2016;4ª semana;05/02/2016;alimentação;2016-01-01;2016-02-05
TAXA CONTA FISICA;45;1;0;0;01/01/2016;5ª semana;04/02/2016;banco;2016-01-01;2016-02-04
almoço;28;1;0;0;01/01/2016;4ª semana;04/02/2016;almoço;2016-01-01;2016-02-04
salgado;4;1;0;0;01/01/2016;4ª semana;02/02/2016;alimentação;2016-01-01;2016-02-02
suco;3;1;0;0;01/01/2016;4ª semana;02/02/2016;alimentação;2016-01-01;2016-02-02
cartao da michelle;68.12;1;0;0;01/01/2016;4ª semana;02/02/2016;michelle;2016-01-01;2016-02-02
salgado;3.8;1;0;0;01/01/2016;4ª semana;02/02/2016;alimentação;2016-01-01;2016-02-02
convenio samuel;140;1;0;0;01/01/2016;4ª semana;01/02/2016;saude;2016-01-01;2016-02-01
agua;3;1;0;0;01/01/2016;4ª semana;01/02/2016;alimentação;2016-01-01;2016-02-01
saque;15;1;0;0;01/01/2016;4ª semana;01/02/2016;saque;2016-01-01;2016-02-01
saque;50;1;0;0;01/01/2016;4ª semana;01/02/2016;saque;2016-01-01;2016-02-01
feira;63;1;0;0;01/01/2016;fim de semana;31/01/2016;feira;2016-01-01;2016-01-31
seminario weslyana;25;1;0;0;01/01/2016;fim de semana;30/01/2016;benção;2016-01-01;2016-01-30
sptransp;230;1;0;0;01/01/2016;2ª semana;29/01/2016;transporte;2016-01-01;2016-01-29
padaria;56.83;1;0;0;01/01/2016;3ª semana;29/01/2016;padaria;2016-01-01;2016-01-29
chocolate;6.75;1;0;0;01/01/2016;3ª semana;29/01/2016;alimentação;2016-01-01;2016-01-29
convenio caio;352.66;1;0;0;01/01/2016;3ª semana;28/01/2016;saude;2016-01-01;2016-01-28
padaria;13.45;1;0;0;01/01/2016;3ª semana;27/01/2016;padaria;2016-01-01;2016-01-27
portas abertas;92;1;0;0;01/01/2016;3ª semana;27/01/2016;benção;2016-01-01;2016-01-27
agua / chocolate;7;1;0;0;01/01/2016;3ª semana;27/01/2016;alimentação;2016-01-01;2016-01-27
almoço;23.03;1;0;0;01/01/2016;3ª semana;26/01/2016;almoço;2016-01-01;2016-01-26
salgado;9.9;1;0;0;01/01/2016;3ª semana;26/01/2016;alimentação;2016-01-01;2016-01-26
agua / café;4;1;0;0;01/01/2016;3ª semana;25/01/2016;alimentação;2016-01-01;2016-01-25
agua / café;3.9;1;0;0;01/01/2016;3ª semana;25/01/2016;alimentação;2016-01-01;2016-01-25
sorvete;10;1;0;0;01/01/2016;3ª semana;25/01/2016;alimentação;2016-01-01;2016-01-25
sptransp;100;1;0;0;01/01/2016;3ª semana;25/01/2016;transporte;2016-01-01;2016-01-25
feira;74;1;0;0;01/01/2016;fim de semana;24/01/2016;feira;2016-01-01;2016-01-24
bacon;6;1;0;0;01/01/2016;fim de semana;24/01/2016;alimentação;2016-01-01;2016-01-24
mercado;7;1;0;0;01/01/2016;fim de semana;24/01/2016;mercado;2016-01-01;2016-01-24
toalha de mesa;3.9;1;0;0;01/01/2016;fim de semana;23/01/2016;pessoal;2016-01-01;2016-01-23
sorvete;10;1;0;0;01/01/2016;fim de semana;23/01/2016;alimentação;2016-01-01;2016-01-23
padaria;43.78;1;0;0;01/01/2016;2ª semana;22/01/2016;padaria;2016-01-01;2016-01-22
consorcio lance contemplado;1000;1;0;0;01/01/2016;2ª semana;22/01/2016;investimento;2016-01-01;2016-01-22
tarifa consorcio;53.24;1;0;0;01/01/2016;2ª semana;22/01/2016;banco;2016-01-01;2016-01-22
tarifa consorcio;330;1;0;0;01/01/2016;2ª semana;22/01/2016;banco;2016-01-01;2016-01-22
sorvete;9;1;0;0;01/01/2016;2ª semana;20/01/2016;alimentação;2016-01-01;2016-01-20
chocolate;15.25;1;0;0;01/01/2016;2ª semana;20/01/2016;alimentação;2016-01-01;2016-01-20
bala hortela;11;1;0;0;01/01/2016;2ª semana;20/01/2016;alimentação;2016-01-01;2016-01-20
agua;4.18;1;0;0;01/01/2016;2ª semana;19/01/2016;alimentação;2016-01-01;2016-01-19
mercado;126.3;1;0;0;01/01/2016;2ª semana;19/01/2016;mercado;2016-01-01;2016-01-19
feira;80;1;0;0;01/01/2016;fim de semana;17/01/2016;feira;2016-01-01;2016-01-17
benção;20;1;0;0;01/01/2016;fim de semana;17/01/2016;benção;2016-01-01;2016-01-17
hipogloss/sabonete;38.64;1;0;0;01/01/2016;fim de semana;17/01/2016;farmacia;2016-01-01;2016-01-17
mercado;30;1;0;0;01/01/2016;fim de semana;16/01/2016;mercado;2016-01-01;2016-01-16
cabelereiro;20;1;0;0;01/01/2016;fim de semana;16/01/2016;pessoal;2016-01-01;2016-01-16
UNICEF;50;1;0;0;01/01/2016;1ª semana;15/01/2016;doação;2016-01-01;2016-01-15
consorcio;575.36;1;0;0;01/01/2016;1ª semana;15/01/2016;investimento;2016-01-01;2016-01-15
salgado;3;1;0;0;01/01/2016;1ª semana;15/01/2016;alimentação;2016-01-01;2016-01-15
mercado;25.79;1;0;0;01/01/2016;1ª semana;15/01/2016;mercado;2016-01-01;2016-01-15
chocolate;26;1;0;0;01/01/2016;1ª semana;15/01/2016;alimentação;2016-01-01;2016-01-15
benção;50;1;0;0;01/01/2016;1ª semana;15/01/2016;benção;2016-01-01;2016-01-15
bolacha metro;7.88;1;0;0;01/01/2016;1ª semana;14/01/2016;alimentação;2016-01-01;2016-01-14
contador;130;1;0;0;01/01/2016;1ª semana;13/01/2016;contador;2016-01-01;2016-01-13
csll tri - boleto - 1,88;139.14;1;0;0;01/01/2016;1ª semana;13/01/2016;imposto;2016-01-01;2016-01-13
irpj - boleto - 0,90;66.61;1;0;0;01/01/2016;1ª semana;13/01/2016;imposto;2016-01-01;2016-01-13
chocolate;6.8;1;0;0;01/01/2016;1ª semana;13/01/2016;alimentação;2016-01-01;2016-01-13
agua;2.99;1;0;0;01/01/2016;1ª semana;12/01/2016;alimentação;2016-01-01;2016-01-12
café/salgado;7;1;0;0;01/01/2016;1ª semana;12/01/2016;alimentação;2016-01-01;2016-01-12
mercado;32.68;1;0;0;01/01/2016;1ª semana;12/01/2016;mercado;2016-01-01;2016-01-12
café/salgado;3;1;0;0;01/01/2016;1ª semana;12/01/2016;alimentação;2016-01-01;2016-01-12
acentona;3.5;1;0;0;01/01/2016;1ª semana;12/01/2016;pessoal;2016-01-01;2016-01-12
SEGURO RESIDENCIA;45.2;1;0;0;01/12/2016;2ª semana;12/01/2016;banco;2016-12-01;2016-01-12
SEGURO CARTÃO;5.79;1;0;0;01/12/2016;2ª semana;12/01/2016;banco;2016-12-01;2016-01-12
SEGURO CARTÃO;5.32;1;0;0;01/01/2016;1ª semana;11/01/2016;banco;2016-01-01;2016-01-11
SEGURO RESIDENCIA;45.74;1;0;0;01/01/2016;1ª semana;11/01/2016;banco;2016-01-01;2016-01-11
luz;94.74;1;0;0;01/01/2016;1ª semana;11/01/2016;casa;2016-01-01;2016-01-11
cartão de credito;3242.88;1;0;0;01/01/2016;1ª semana;11/01/2016;cartão credito;2016-01-01;2016-01-11
mercado;38.6;1;0;0;01/01/2016;1ª semana;11/01/2016;mercado;2016-01-01;2016-01-11
chocolate;17.8;1;0;0;01/01/2016;1ª semana;11/01/2016;alimentação;2016-01-01;2016-01-11
café;6.5;1;0;0;01/01/2016;1ª semana;11/01/2016;alimentação;2016-01-01;2016-01-11
TAXA CONTA JURIDICA;60;1;0;0;01/01/2016;1ª semana;10/01/2016;banco;2016-01-01;2016-01-10
net;302.58;1;0;0;01/01/2016;fim de semana;10/01/2016;casa;2016-01-01;2016-01-10
custo total aluguel;1327.41;1;0;0;01/01/2016;fim de semana;10/01/2016;casa;2016-01-01;2016-01-10
boleto moçambique;50;1;0;0;01/01/2016;1ª semana;10/01/2016;benção;2016-01-01;2016-01-10
dizimo;0;1;0;0;01/01/2016;1ª semana;10/01/2016;benção;2016-01-01;2016-01-10
padaria;20.5;1;0;0;01/01/2016;fim de semana;10/01/2016;padaria;2016-01-01;2016-01-10
feira;75;1;0;0;01/01/2016;fim de semana;10/01/2016;feira;2016-01-01;2016-01-10
mercado;25;1;0;0;01/01/2016;fim de semana;10/01/2016;mercado;2016-01-01;2016-01-10
açougue;66.12;1;0;0;01/01/2016;fim de semana;10/01/2016;alimentação;2016-01-01;2016-01-10
benção;100;1;0;0;01/01/2016;1ª semana;08/01/2016;benção;2016-01-01;2016-01-08
