custo;valor debito;custo fixo;custo variavel;pendente;data pagto;semana;data pagamento;tipo;dt_pagto_bq;dt_custo_bq
cartão de credito;5532.01;1;0;0;01/10/2016;1ª semana;01/10/2016;cartão credito;2016-10-01;2016-10-01
sptransp;0;1;0;0;01/10/2016;;;transporte;2016-10-01;2016-10-01
padaria;36;0;1;0;01/09/2016;4ª semana;29/09/2016;padaria;2016-09-01;2016-09-29
biscoito;12.68;0;1;0;01/09/2016;4ª semana;29/09/2016;alimentação;2016-09-01;2016-09-29
lanche café manha;17.5;0;1;0;01/09/2016;4ª semana;29/09/2016;alimentação;2016-09-01;2016-09-29
café;9;0;1;0;01/09/2016;4ª semana;28/09/2016;alimentação;2016-09-01;2016-09-28
café;6.5;0;1;0;01/09/2016;4ª semana;28/09/2016;alimentação;2016-09-01;2016-09-28
lanche;3;0;1;0;01/09/2016;4ª semana;27/09/2016;alimentação;2016-09-01;2016-09-27
lanche metro;4;0;1;0;01/09/2016;4ª semana;27/09/2016;alimentação;2016-09-01;2016-09-27
lanche;9.4;0;1;0;01/09/2016;4ª semana;26/09/2016;alimentação;2016-09-01;2016-09-26
agua/chocolate;10.89;0;1;0;01/09/2016;4ª semana;26/09/2016;alimentação;2016-09-01;2016-09-26
lanche domingo;15;0;1;0;01/09/2016;4ª semana;25/09/2016;alimentação;2016-09-01;2016-09-25
café;6.9;0;1;0;01/09/2016;4ª semana;25/09/2016;alimentação;2016-09-01;2016-09-25
mercado;40.71;0;1;0;01/09/2016;4ª semana;25/09/2016;mercado;2016-09-01;2016-09-25
CABELEIREIRO;41.99;0;1;0;01/09/2016;4ª semana;24/09/2016;pessoal;2016-09-01;2016-09-24
café;3;0;1;0;01/09/2016;4ª semana;24/09/2016;alimentação;2016-09-01;2016-09-24
lanche;3.8;0;1;0;01/09/2016;4ª semana;24/09/2016;alimentação;2016-09-01;2016-09-24
michelle unha;37;0;1;0;01/09/2016;4ª semana;24/09/2016;pessoal;2016-09-01;2016-09-24
michelle;52;0;1;0;01/09/2016;4ª semana;24/09/2016;pessoal;2016-09-01;2016-09-24
sorvete;4.87;0;1;0;01/09/2016;4ª semana;24/09/2016;alimentação;2016-09-01;2016-09-24
lavagem do carro;9.55;0;1;0;01/09/2016;4ª semana;24/09/2016;carro;2016-09-01;2016-09-24
almoço sabado;20.5;0;1;0;01/09/2016;4ª semana;24/09/2016;almoço;2016-09-01;2016-09-24
estacionamento;9;0;1;0;01/09/2016;4ª semana;22/09/2016;carro;2016-09-01;2016-09-22
agua/chocolate;7.59;0;1;0;01/09/2016;4ª semana;21/09/2016;alimentação;2016-09-01;2016-09-21
café;8;0;1;0;01/09/2016;4ª semana;20/09/2016;alimentação;2016-09-01;2016-09-20
lanche;5.5;0;1;0;01/09/2016;4ª semana;20/09/2016;alimentação;2016-09-01;2016-09-20
cachorro quente;20;0;1;0;01/09/2016;fim de semana;18/09/2016;alimentação;2016-09-01;2016-09-18
comgas;32.96;1;0;0;01/09/2016;1ª semana;17/09/2016;casa;2016-09-01;2016-09-17
parcela celular 2/2;375.34;0;1;0;01/09/2016;fim de semana;17/09/2016;celular;2016-09-01;2016-09-17
estacionamento;9;0;1;0;01/09/2016;fim de semana;17/09/2016;carro;2016-09-01;2016-09-17
boulevard;10;0;1;0;01/09/2016;fim de semana;17/09/2016;alimentação;2016-09-01;2016-09-17
correio;40;0;1;0;01/09/2016;3ª semana;16/09/2016;pessoal;2016-09-01;2016-09-16
xerox / autenticacao;10;0;1;0;01/09/2016;3ª semana;16/09/2016;pessoal;2016-09-01;2016-09-16
bolacha;5.48;0;1;0;01/09/2016;3ª semana;16/09/2016;alimentação;2016-09-01;2016-09-16
salgado;8.9;0;1;0;01/09/2016;3ª semana;16/09/2016;alimentação;2016-09-01;2016-09-16
celular mi;35;0;1;0;01/09/2016;3ª semana;16/09/2016;celular;2016-09-01;2016-09-16
café;3;0;1;0;01/09/2016;3ª semana;16/09/2016;alimentação;2016-09-01;2016-09-16
café almoço;6.5;0;1;0;01/09/2016;3ª semana;16/09/2016;alimentação;2016-09-01;2016-09-16
sorvete;9;0;1;0;01/09/2016;3ª semana;16/09/2016;alimentação;2016-09-01;2016-09-16
consorcio;610;1;0;0;01/09/2016;3ª semana;15/09/2016;investimento;2016-09-01;2016-09-15
UNICEF;50;1;0;0;01/09/2016;3ª semana;15/09/2016;doação;2016-09-01;2016-09-15
lanche mac donald;15.5;0;1;0;01/09/2016;3ª semana;15/09/2016;alimentação;2016-09-01;2016-09-15
salgado;5;0;1;0;01/09/2016;3ª semana;15/09/2016;alimentação;2016-09-01;2016-09-15
bolacha;3.9;0;1;0;01/09/2016;3ª semana;14/09/2016;alimentação;2016-09-01;2016-09-14
agua;3;0;1;0;01/09/2016;3ª semana;14/09/2016;alimentação;2016-09-01;2016-09-14
café;6.5;0;1;0;01/09/2016;3ª semana;14/09/2016;alimentação;2016-09-01;2016-09-14
café;3;0;1;0;01/09/2016;3ª semana;13/09/2016;alimentação;2016-09-01;2016-09-13
SEGURO RESIDENCIA;45.2;1;0;0;01/09/2016;3ª semana;12/09/2016;banco;2016-09-01;2016-09-12
contador;145;1;0;0;01/09/2016;3ª semana;12/09/2016;contador;2016-09-01;2016-09-12
SEGURO CARTÃO;5.79;1;0;0;01/09/2016;;12/09/2016;banco;2016-09-01;2016-09-12
SALGADO;4;0;1;0;01/09/2016;3ª semana;12/09/2016;alimentação;2016-09-01;2016-09-12
