"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"alimentação";"01/02/2021";"ELECTRONAV ZACHI NA";"9212";-61,2;61,2;0;01/02/2021
"agua";"01/02/2021";"ELECTRONBD";"9212";-11;11;0;01/02/2021
"farmacia";"01/02/2021";"ELECTRONDROGARIA PR";"9212";-39,96;39,96;0;01/02/2021
"alimentação";"01/02/2021";"ELECTRONFERNANDA GO";"9212";-46,4;46,4;0;01/02/2021
"frango";"01/02/2021";"ELECTRONPAG*Frigott";"9212";-50;50;0;01/02/2021
"salario";"01/02/2021";"PIX TRANSF  ANDRE N31/01";"9028";1;0;1;01/02/2021
"salario";"01/02/2021";"PIX TRANSF  ANDRE N31/01";"9129";4303,32;0;4303,32;01/02/2021
"banco";"01/02/2021";"IOF";;-17,95;17,95;0;01/02/2021
"saldo";"01/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021
"poupança";"02/02/2021";"TBI 9293.22915-0/500";"4175";-2000;2000;0;01/02/2021
"mercado";"02/02/2021";"ELECTRONTRIMAIS SUP";"9212";-48,48;48,48;0;01/02/2021
"benção";"02/02/2021";"PIX TRANSF  Ana Mar02/02";"9132";-50;50;0;01/02/2021
"reembolso";"02/02/2021";"TED 237.0001BRADESCO SAU";;150;0;150;01/02/2021
"banco";"02/02/2021";"TAR PACOTE ITAU   JAN/21";"9293";-79,5;79,5;0;01/02/2021
"saldo";"02/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021
"saldo";"03/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021
"farmacia";"04/02/2021";"ELECTRONFARMAVAN XI";"9212";-16,99;16,99;0;01/02/2021
"seminario";"04/02/2021";"INT TED  467957";"4175";-340;340;0;01/02/2021
"saldo";"04/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021
"agua";"05/02/2021";"ELECTRONBD";"9212";-11;11;0;01/02/2021
"michelle";"05/02/2021";"ELECTRONSALAO FERNA";"9212";-40;40;0;01/02/2021
"banco";"05/02/2021";"LIS/JUROS     24 DIAS";;-87,3;87,3;0;01/02/2021
"saldo";"05/02/2021";"SDO CTA/APL AUTOMATICAS";;;0;0;01/02/2021
"condominio";"08/02/2021";"INT PAG TIT 109046299963";"4175";-493,44;493,44;0;01/02/2021
"creche";"08/02/2021";"INT  PAG TIT BANCO 077";"4175";-542;542;0;01/02/2021
"celular";"08/02/2021";"INT NEXTEL 9099999687157";"4175";-88,76;88,76;0;01/02/2021
"gasolina";"08/02/2021";"ELECTRONAUTO POSTO";"9212";-31,9;31,9;0;01/02/2021
"compras";"08/02/2021";"ELECTRONBREADS VALL";"9212";-8;8;0;01/02/2021
"compras";"08/02/2021";"ELECTRONCENTER CHIC";"9212";-5;5;0;01/02/2021
"compras";"08/02/2021";"ELECTRONCONFECCOES";"9212";-34,99;34,99;0;01/02/2021
"farmacia";"08/02/2021";"ELECTRONDROGARIA PR";"9212";-86,88;86,88;0;01/02/2021
"compras";"08/02/2021";"ELECTRONFERNANDA GO";"9212";-25,8;25,8;0;01/02/2021
"compras";"08/02/2021";"ELECTRONFERNANDA GO";"9212";-102,5;102,5;0;01/02/2021
"mercado";"08/02/2021";"ELECTRONTRIMAIS SUP";"9212";-189,69;189,69;0;01/02/2021
"rembolso";"08/02/2021";"TED 237.0001BRADESCO SAU";;353;0;353;01/02/2021
"tapete";"08/02/2021";"PIX TRANSF  EDUARDO06/02";"9327";32,86;0;32,86;01/02/2021
"saldo";"08/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"celular";"09/02/2021";"INT NEXTEL 9499999687161";"4175";-53,32;53,32;0;01/02/2021
"farmacia";"09/02/2021";"ELECTRONDROGARIA PR";"9212";-66,12;66,12;0;01/02/2021
"saldo";"09/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"banco";"10/02/2021";"SEGURO CARTAO";"9293";-6,61;6,61;0;01/02/2021
"saldo";"10/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"enfermagem";"11/02/2021";"INT PAG TIT 109006113573";"4175";-443,34;443,34;0;01/02/2021
"compras";"11/02/2021";"ELECTRONBD";"9212";-11;11;0;01/02/2021
"mercado";"11/02/2021";"ELECTRONTRIMAIS SUP";"9212";-182,23;182,23;0;01/02/2021
"doação";"11/02/2021";"DEB AUTOR UNICEF";"9293";-75;75;0;01/02/2021
"saldo";"11/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"compras";"12/02/2021";"ELECTRONBETTER INFO";"9212";-19,9;19,9;0;01/02/2021
"compras";"12/02/2021";"ELECTRONPAG*MONICAP";"9212";-11,9;11,9;0;01/02/2021
"mercado";"12/02/2021";"ELECTRONSONDA TREME";"9212";-17,28;17,28;0;01/02/2021
"mercado";"12/02/2021";"ELECTRONTRIMAIS SUP";"9212";-68,98;68,98;0;01/02/2021
"saldo";"12/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"saque";"17/02/2021";"SAQUE 24H 11104585 14/02";"5086";-150;150;0;01/02/2021
"agua";"17/02/2021";"ELECTRONBD";"9212";-11;11;0;01/02/2021
"farmacia";"17/02/2021";"ELECTRONDROGARIA PR";"9212";-43,18;43,18;0;01/02/2021
"compras";"17/02/2021";"ELECTRONESPORT SCAP";"9212";-30;30;0;01/02/2021
